Group,Algorithm_qps,Algorithm_cpq,selectivity,QPS,CPQ,x
Best_FDiskANN,DiskANN_Stitched,DiskANN,0.6,6875.88,493.67,0.6
Best_FDiskANN,DiskANN_Stitched,DiskANN_Stitched,0.7,6231.76,567.41,0.7
Best_FDiskANN,DiskANN_Stitched,DiskANN,0.8,6738.28,451.66,0.8
Best_FDiskANN,DiskANN_Stitched,DiskANN_Stitched,0.9,6181.2,546.53,0.9
Best_FDiskANN,DiskANN_Stitched,DiskANN_Stitched,1.0,7338.68,545.58,1.0
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.01,7622.71,996.16,0.01
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.02,16509.5,462.564,0.02
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.03,18869.5,389.058,0.03
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.04,18289.0,385.424,0.04
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.05,19485.9,384.282,0.05
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.06,19016.6,385.661,0.06
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.07,18186.0,386.982,0.07
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.08,18532.9,385.641,0.08
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.09,18776.7,385.439,0.09
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.1,18573.1,388.741,0.1
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.2,14137.3,461.624,0.2
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.3,16392.6,452.519,0.3
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.4,16014.9,447.757,0.4
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.5,16459.8,443.615,0.5
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.6,16751.8,437.966,0.6
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.7,16085.6,433.812,0.7
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.8,16936.5,428.667,0.8
Best_NHQ,NHQ_kgraph,NHQ_kgraph,0.9,17189.1,425.378,0.9
Best_NHQ,NHQ_kgraph,NHQ_kgraph,1.0,15007.7,458.112,1.0
Best_Arbitrary,ACORN,ACORN,0.01,1123.592,348.417,0.01
Best_Arbitrary,ACORN,ACORN,0.02,2146.111,358.532,0.02
Best_Arbitrary,ACORN,ACORN,0.03,2281.387,415.464,0.03
Best_Arbitrary,ACORN,ACORN,0.04,2398.087,489.439,0.04
Best_Arbitrary,ACORN,ACORN,0.05,2251.496,548.371,0.05
Best_Arbitrary,ACORN,ACORN,0.06,2347.839,606.886,0.06
Best_Arbitrary,ACORN,ACORN,0.07,2280.042,664.535,0.07
Best_Arbitrary,ACORN,ACORN,0.08,2262.738,687.929,0.08
Best_Arbitrary,ACORN,ACORN,0.09,2334.858,719.876,0.09
Best_Arbitrary,ACORN,ACORN,0.1,2062.408,738.885,0.1
Best_Arbitrary,ACORN,ACORN,0.2,2362.414,859.585,0.2
Best_Arbitrary,ACORN,ACORN,0.3,2215.816,899.993,0.3
Best_Arbitrary,ACORN,ACORN,0.4,1844.151,1047.771,0.4
Best_Arbitrary,ACORN,ACORN,0.5,2008.392,1055.054,0.5
Best_Arbitrary,ACORN,ACORN,0.6,1178.161,1900.328,0.6
Best_Arbitrary,ACORN,ACORN,0.7,1114.477,1942.96,0.7
Best_Arbitrary,ACORN,ACORN,0.8,1144.446,1982.71,0.8
Best_Arbitrary,ACORN,ACORN,0.9,1173.427,2004.5,0.9
Best_Arbitrary,ACORN,ACORN,1.0,1226.135,1996.892,1.0
