Group,Algorithm_qps,Algorithm_cpq,selectivity,QPS,CPQ,x
Best_FDiskANN,DiskANN_Stitched,DiskANN,0.7,3976.91,629.07,0.7
Best_FDiskANN,DiskANN,DiskANN,0.8,6372.81,451.66,0.8
Best_FDiskANN,DiskANN,DiskANN,0.9,5254.91,588.81,0.9
Best_FDiskANN,DiskANN_Stitched,DiskANN,1.0,4703.12,781.79,1.0
Best_NHQ,NHQ_nsw,NHQ_nsw,0.01,798.428,4541.52,0.01
Best_NHQ,NHQ_nsw,NHQ_nsw,0.02,1814.23,2238.05,0.02
Best_NHQ,NHQ_nsw,NHQ_nsw,0.03,1632.85,1674.72,0.03
Best_NHQ,NHQ_nsw,NHQ_nsw,0.04,2652.34,1344.86,0.04
Best_NHQ,NHQ_nsw,NHQ_nsw,0.05,3236.75,1404.25,0.05
Best_NHQ,NHQ_nsw,NHQ_nsw,0.06,8717.87,471.18,0.06
Best_NHQ,NHQ_nsw,NHQ_nsw,0.07,4315.59,1017.47,0.07
Best_NHQ,NHQ_nsw,NHQ_nsw,0.08,7704.56,487.469,0.08
Best_NHQ,NHQ_nsw,NHQ_nsw,0.09,5006.52,661.226,0.09
Best_NHQ,NHQ_nsw,NHQ_nsw,0.1,3846.86,861.366,0.1
Best_NHQ,NHQ_nsw,NHQ_nsw,0.2,4489.1,713.7,0.2
Best_NHQ,NHQ_nsw,NHQ_nsw,0.3,3735.08,775.281,0.3
Best_NHQ,NHQ_nsw,NHQ_nsw,0.4,4425.61,787.872,0.4
Best_NHQ,NHQ_nsw,NHQ_nsw,0.5,5174.49,780.281,0.5
Best_NHQ,NHQ_nsw,NHQ_nsw,0.6,4790.38,795.241,0.6
Best_NHQ,NHQ_nsw,NHQ_nsw,0.7,4655.11,814.185,0.7
Best_NHQ,NHQ_nsw,NHQ_nsw,0.8,4637.16,824.892,0.8
Best_NHQ,NHQ_nsw,NHQ_nsw,0.9,5007.26,824.981,0.9
Best_NHQ,NHQ_nsw,NHQ_nsw,1.0,4467.71,829.704,1.0
Best_Arbitrary,ACORN,ACORN,0.01,1123.592,348.417,0.01
Best_Arbitrary,ACORN,ACORN,0.02,2146.111,358.532,0.02
Best_Arbitrary,ACORN,ACORN,0.03,2281.387,415.464,0.03
Best_Arbitrary,ACORN,ACORN,0.04,2398.087,489.439,0.04
Best_Arbitrary,ACORN,ACORN,0.05,2251.496,548.371,0.05
Best_Arbitrary,ACORN,ACORN,0.06,2347.839,606.886,0.06
Best_Arbitrary,ACORN,ACORN,0.07,2280.042,664.535,0.07
Best_Arbitrary,ACORN,ACORN,0.08,2262.738,687.929,0.08
Best_Arbitrary,ACORN,ACORN,0.09,2334.858,719.876,0.09
Best_Arbitrary,ACORN,ACORN,0.1,2062.408,738.885,0.1
Best_Arbitrary,ACORN,ACORN,0.2,2362.414,859.585,0.2
Best_Arbitrary,ACORN,ACORN,0.3,2215.816,899.993,0.3
Best_Arbitrary,ACORN,ACORN,0.4,1844.151,1047.771,0.4
Best_Arbitrary,ACORN,ACORN,0.5,2008.392,1055.054,0.5
Best_Arbitrary,ACORN,ACORN,0.6,1178.161,1900.328,0.6
Best_Arbitrary,ACORN,ACORN,0.7,1114.477,1942.96,0.7
Best_Arbitrary,ACORN,ACORN,0.8,1144.446,1982.71,0.8
Best_Arbitrary,ACORN,ACORN,0.9,1173.427,2004.5,0.9
Best_Arbitrary,ACORN,ACORN,1.0,1226.135,1996.892,1.0
