Algorithm,QPS,CPQ
UNIFY,98.980936,45687.2971
UNIFY,96.358603,47403.1117
UNIFY,81.712026,53500.5709
UNIFY,80.906184,55517.77
UNIFY,49.677278,89876.2121
UNIFY,49.399477,86567.9358
UNIFY_hybrid,14693.794616,238.778
UNIFY_hybrid,12529.316595,238.923
UNIFY_hybrid,8963.471266,339.0492
UNIFY_hybrid,8925.541819,238.778
UNIFY_hybrid,8346.280672,597.7293
UNIFY_hybrid,7949.157884,361.3277
UNIFY_hybrid,7755.528835,542.9119
UNIFY_hybrid,7501.447778,542.9119
UNIFY_hybrid,6987.200556,238.923
UNIFY_hybrid,6936.77097,266.142
UNIFY_hybrid,6935.566576,412.9623
UNIFY_hybrid,6679.074768,413.1993
UNIFY_hybrid,6358.228526,266.3163
UNIFY_hybrid,5612.473293,948.7267
UNIFY_hybrid,5498.628065,749.8331
UNIFY_hybrid,3757.085566,1328.8091
UNIFY_hybrid,3535.74796,238.923
UNIFY_hybrid,3265.721296,1249.3184
UNIFY_hybrid,2960.427027,462.1233
UNIFY_hybrid,2710.314779,238.778
UNIFY_hybrid,2685.209187,1030.5052
UNIFY_hybrid,2401.996869,1863.3964
UNIFY_hybrid,2388.433531,303.9583
UNIFY_hybrid,2105.235578,1390.5571
UNIFY_hybrid,2055.963042,2071.7146
UNIFY_hybrid,1725.316314,2459.7511
UNIFY_hybrid,1691.184647,238.923
UNIFY_hybrid,1611.268566,361.1501
UNIFY_hybrid,1549.364727,2282.1253
UNIFY_hybrid,1444.656447,507.7311
UNIFY_hybrid,1431.194412,3080.3987
UNIFY_hybrid,1419.11094,238.778
UNIFY_hybrid,1247.760649,542.9119
UNIFY_hybrid,1195.37648,1031.3173
UNIFY_hybrid,1174.015802,675.8307
UNIFY_hybrid,1168.559448,554.1042
UNIFY_hybrid,1168.038153,798.343
UNIFY_hybrid,1122.29033,303.7766
UNIFY_hybrid,1031.382011,461.8418
UNIFY_hybrid,1029.791319,238.778
UNIFY_hybrid,945.790748,4255.6373
UNIFY_hybrid,936.445501,948.7267
UNIFY_hybrid,890.544702,1421.5296
UNIFY_hybrid,762.332954,948.7267
UNIFY_hybrid,706.443766,1391.5545
UNIFY_hybrid,689.58061,5899.0604
UNIFY_hybrid,640.466561,879.1581
UNIFY_hybrid,638.032668,948.7267
UNIFY_hybrid,616.375628,508.0596
UNIFY_hybrid,568.65899,7786.823
UNIFY_hybrid,553.909033,553.7698
UNIFY_hybrid,548.301523,7445.0924
UNIFY_hybrid,480.898699,948.7267
UNIFY_hybrid,450.054937,721.6944
UNIFY_hybrid,447.426068,8921.5361
UNIFY_hybrid,444.240005,1141.0016
UNIFY_hybrid,420.624047,10671.4027
UNIFY_hybrid,418.989137,1190.4773
UNIFY_hybrid,404.99574,879.746
UNIFY_hybrid,347.035648,13339.4395
UNIFY_hybrid,330.326384,3382.4842
UNIFY_hybrid,325.729653,1029.7883
UNIFY_hybrid,286.616975,15853.3915
UNIFY_hybrid,284.484224,4549.0494
UNIFY_hybrid,277.613603,6227.7646
UNIFY_hybrid,266.887444,1046.7176
UNIFY_hybrid,266.586348,15629.7751
UNIFY_hybrid,216.379382,3413.3741
UNIFY_hybrid,167.506063,27013.5585
UNIFY_hybrid,158.52659,1538.3122
DSG,2805.9527,317.3748
DSG,1805.5192,463.5007
DSG,1666.7167,384.1592
DSG,1622.6417,508.0878
DSG,1233.1627,610.346
DSG,1191.806,668.1421
DSG,1133.054,705.0957
DSG,1035.4639,550.3281
DSG,990.3414,795.7776
DSG,860.7714,486.0062
DSG,563.3935,884.9551
DSG,525.6661,970.6985
DSG,453.1306,1055.4993
DSG,446.3793,1702.7086
DSG,403.6181,1383.8561
DSG,380.8477,2011.5029
DSG,280.1032,2751.1468
DSG,146.0025,3457.7486
DSG,129.3826,4792.2318
DSG,106.5613,6052.0608
DSG,88.5048,7257.5805
DSG,44.6168,12757.627
iRangeGraph,4143.47,840.0
iRangeGraph,4132.95,842.0
iRangeGraph,4067.69,840.0
iRangeGraph,4043.5,840.0
iRangeGraph,4037.35,839.0
iRangeGraph,4025.62,840.0
iRangeGraph,3935.79,840.0
iRangeGraph,3783.94,839.0
iRangeGraph,3221.35,848.0
iRangeGraph,2094.76,1285.0
iRangeGraph,1855.81,1793.0
iRangeGraph,1088.11,2296.0
iRangeGraph,894.744,4026.0
iRangeGraph,844.976,2796.0
iRangeGraph,548.194,5230.0
iRangeGraph,352.082,9828.0
iRangeGraph,317.911,12025.0
iRangeGraph,312.737,7567.0
iRangeGraph,178.069,22321.0
